Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,Market 32,19 Centre Dr,,Plattsburgh,NY,12901,,518-562-3560,E,,Public,24 hours daily,,,2,,,Non-Networked,,200-9,44.695363,-73.492162,03/15/2021,65281,2022-02-10 19:42:29,SG,,,11/01/2014,J1772
ELEC,Rapidpark 210 W 102nd Street - Tesla Destination,210 W 102st St,,New York,NY,10025,,212-864-8605  877-798-3752,E,,Public,24 hours daily; see valet for access,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,40.797961,-73.968389,11/03/2020,115051,2021-03-11 23:22:17,P,,,09/01/2017,J1772 TESLA
ELEC,Edge,3954 NY-12,,Lyons Falls,NY,13368,,866-816-7584,E,,Public,24 hours daily,,,1,,,EV Connect,http://evconnect.com/,GPS,43.621010,-75.372871,04/08/2020,123107,2021-03-11 23:22:17,P,,,04/01/2019,J1772
ELEC,PANYNJ JFK Y GARAGE 4,JFK Terminal 5 JFK International Airport,,Queens,NY,11430,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.645841,-73.779222,03/22/2022,147470,2022-03-22 00:31:22,,,,11/02/2019,J1772
ELEC,KINGSTON VW STATION 1,1249 Ulster Ave,,Kingston,NY,12401,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.967208,-73.990374,03/22/2022,183754,2022-03-22 00:31:22,,,,02/04/2021,J1772
ELEC,EAST GARAGE 1 E GARAGE #1,2 Bay Club Dr,,Bayside,NY,11360,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.778036,-73.780899,03/22/2022,190874,2022-03-22 00:31:22,,,,06/10/2021,J1772
ELEC,RIVERWATCH EV1 STATION1,1020 Warburton Ave,,Yonkers,NY,10701,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,40.970419,-73.889216,03/22/2022,205066,2022-03-22 00:31:22,,,,01/20/2022,J1772
ELEC,WHITEFACE MT WHITEFACE MT 3,5021 Route 86,,Wilmington,NY,12997,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.359064,-73.858857,03/22/2022,182171,2022-03-22 00:31:22,,,,01/27/2021,J1772
ELEC,The Alpine Lodge - Tesla Destination,264 Main St,,North Creek,NY,12853,,518-251-2451  877-798-3752,E,,Public,24 hours daily; for customer use only; see front desk for access,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,43.700216,-73.986141,11/03/2020,115200,2021-03-11 23:22:17,P,,,11/01/2018,TESLA
ELEC,Glen Avenue Suites,6 Glen Ave,,Cooperstown,NY,13326,,607-547-5054,E,,Public,8am-6pm daily; for guest use only,,,1,,,Non-Networked,,GPS,42.698540,-74.931170,03/03/2020,131661,2022-02-24 19:51:12,P,,,07/15/2019,J1772
ELEC,Legend Nissan,268 Jericho Turnpike,,Syosset,NY,11791,,516-496-8181,E,,Public,Dealership business hours,,,1,1,,Non-Networked,,200-9,40.809865,-73.507761,03/07/2022,44203,2022-03-07 19:49:53,P,,,11/30/2011,CHADEMO J1772 J1772COMBO
ELEC,POUGHEEPSIE EV POUGHKEEPSIE 1,41 Civic Center Plaza,,Poughkeepsie,NY,12601,,888-758-4389,E,,Public,Mon 12:00am - 12:00am; Tue 12:00am - 12:00am; Wed 12:00am - 12:00am; Thu 12:00am - 12:00am; Fri 12:00am - 12:00am; Sat 12:00am - 12:00am; Sun 12:00am - 12:00am,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,41.704770,-73.927310,03/22/2022,183106,2022-03-22 00:31:22,,,,01/27/2021,J1772
ELEC,NATIONAL GRID CHILIS GLENMONT,380 US-9W,,Glenmont,NY,12077,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,42.603303,-73.790054,03/22/2022,162197,2022-03-22 00:31:22,,,,06/12/2020,J1772
ELEC,CHHA2 Garages,532 W 122nd St,,New York,NY,10027,,866-816-7584,E,,Public - Credit card at all times,24 hours daily; Also accepts PayPal and Apple Pay,A D M V,,4,,,EV Connect,http://evconnect.com/,GPS,40.811438,-73.960481,12/03/2020,168414,2021-03-11 23:22:17,P,,,08/28/2020,J1772
